facility_id,field,value,retrieved_date,issue,evidence
IC-92775,state,TN,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,ZIP 37421 and city Chattanooga are TN; fl_bcis stored ID
IC-85026,zip,79924-5006,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (799245006); reformatted as ZIP+4
IC-85139,zip,79415-2003,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (794152003); reformatted as ZIP+4
IC-85168,zip,78108-3944,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (781083944); reformatted as ZIP+4
IC-85189,zip,78727-5817,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (787275817); reformatted as ZIP+4
IC-85248,zip,77447-7818,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (774477818); reformatted as ZIP+4
IC-87878,zip,24210,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (242100000); 0000 is padding, not a ZIP+4"
IC-87961,zip,22603,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (226030000); 0000 is padding, not a ZIP+4"
IC-88041,zip,24112,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (241120000); 0000 is padding, not a ZIP+4"
IC-88058,zip,24319,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (243190000); 0000 is padding, not a ZIP+4"
IC-88107,zip,24251,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (242510000); 0000 is padding, not a ZIP+4"
IC-88190,zip,23917,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (239170000); 0000 is padding, not a ZIP+4"
IC-88373,zip,24277,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (242770000); 0000 is padding, not a ZIP+4"
IC-88494,zip,24368,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (243680000); 0000 is padding, not a ZIP+4"
IC-88517,zip,24343,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (243430000); 0000 is padding, not a ZIP+4"
IC-88526,zip,22630,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (226300000); 0000 is padding, not a ZIP+4"
IC-88652,zip,23047,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,"source printed 9 digits without a dash (230470000); 0000 is padding, not a ZIP+4"
IC-91041,zip,54449-4620,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (544494620); reformatted as ZIP+4
IC-91138,zip,54157-1556,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (541571556); reformatted as ZIP+4
IC-91157,zip,53963-2310,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (539632310); reformatted as ZIP+4
IC-91167,zip,54449-1042,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (544491042); reformatted as ZIP+4
IC-94578,zip,17842-9488,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (178429488); reformatted as ZIP+4
IC-94841,zip,76227-8030,2026-09-26,https://github.com/pcsmith2000/IC_Factory_Database/issues/57,source printed 9 digits without a dash (762278030); reformatted as ZIP+4
