control_id,name,city,state,triage,reason,split
ADL-116,Contract Building Components,Covington,GA,,Steel Structural Components,dev
ADL-117,Metalite Truss Systems of FL,West Palm Beach,FL,,Steel Structural Components,dev
ADL-118,Contract Building Components,Statesville,NC,,Steel Structural Components,dev
ADL-119,Timplex Corp,Sussex,NJ,,Steel Structural Components,sealed
ADL-120,Clearspan Components,Meridian,MS,,Wood Structural Components (trusses etc),dev
ADL-121,Builders FirstSource,Shelby,AL,,Wood Structural Components (trusses etc),dev
ADL-122,Arizona Building Supply,Glendale,AZ,,Wood Structural Components (trusses etc),dev
ADL-123,Arizona Building Supply,Yuma,AZ,,Wood Structural Components (trusses etc),dev
ADL-124,Builders FirstSource,Casa Grande,AZ,,Wood Structural Components (trusses etc),dev
ADL-125,FrameTec,Camp Verde,AZ,,Wood Structural Components (trusses etc),dev
ADL-126,"Trussworks, LLC",Kingman,AZ,,Wood Structural Components (trusses etc),dev
ADL-127,Better Built Truss,Ripon,CA,,Wood Structural Components (trusses etc),dev
ADL-128,Builders FirstSource,Perris,CA,,Wood Structural Components (trusses etc),dev
ADL-129,Builders FirstSource,Olivehurst,CA,,Wood Structural Components (trusses etc),dev
ADL-130,Builders FirstSource,Sanger,CA,,Wood Structural Components (trusses etc),dev
ADL-131,NorCal Lumber Company,Marysville,CA,,Wood Structural Components (trusses etc),dev
ADL-132,Pacific StrucFrame,Barstow,CA,,Wood Structural Components (trusses etc),sealed
ADL-133,Ridgefield Building Supply,East Haven,CT,,Wood Structural Components (trusses etc),sealed
ADL-134,Stark Truss,Bridgeville,DE,,Wood Structural Components (trusses etc),dev
ADL-135,A-1 Industries of Florida,Fort Pierce,FL,,Wood Structural Components (trusses etc),sealed
ADL-136,American Builders Supply,Winter Haven,FL,,Wood Structural Components (trusses etc),dev
ADL-137,American Builders Supply,Tampa,FL,,Wood Structural Components (trusses etc),dev
ADL-138,Builders FirstSource,Orlando,FL,,Wood Structural Components (trusses etc),dev
ADL-139,Builders FirstSource,Lake City,FL,,Wood Structural Components (trusses etc),dev
ADL-140,Builders FirstSource,Plant City,FL,,Wood Structural Components (trusses etc),dev
ADL-141,Innovative Construction Group,Green Cove Springs,FL,,Wood Structural Components (trusses etc),dev
ADL-142,True House,Jacksonville,FL,,Wood Structural Components (trusses etc),dev
ADL-143,True House,Crecent City,FL,,Wood Structural Components (trusses etc),dev
ADL-144,Builders FirstSource,Norcross,GA,,Wood Structural Components (trusses etc),dev
ADL-145,North Georgia Truss Systems,Cartersville,GA,,Wood Structural Components (trusses etc),dev
ADL-146,Universal Forest Products,Folkston,GA,,Wood Structural Components (trusses etc),dev
ADL-147,"Southern Components, Inc.",Shrevport,LA,,Wood Structural Components (trusses etc),dev
ADL-148,Builders FirstSource,New Bedford,MA,,Wood Structural Components (trusses etc),dev
ADL-149,Cornerstone Building,Uxbridge,MA,,Wood Structural Components (trusses etc),dev
ADL-150,NVR Building Products,Thurmont,MD,,Wood Structural Components (trusses etc),dev
ADL-151,Shelter Systems,Westminster,MD,,Wood Structural Components (trusses etc),dev
ADL-152,Stark Truss,Baltimore,MD,,Wood Structural Components (trusses etc),dev
ADL-153,Mainely Trusses,Fairfield,ME,,Wood Structural Components (trusses etc),dev
ADL-154,84 Lumber,Kings Mountain,NC,,Wood Structural Components (trusses etc),dev
ADL-155,Atlantic Building Systems,Fairmont,NC,,Wood Structural Components (trusses etc),dev
ADL-156,Builders FirstSource,Albermarle,NC,,Wood Structural Components (trusses etc),dev
ADL-157,Carolina Structural Systems,Star,NC,,Wood Structural Components (trusses etc),dev
ADL-158,Longleaf,West End,NC,,Wood Structural Components (trusses etc),dev
ADL-159,The Building Center,Gastonia,NC,,Wood Structural Components (trusses etc),dev
ADL-160,Universal Forest Products,Stanfield,NC,,Wood Structural Components (trusses etc),dev
ADL-161,LaValley Building,Newport,NH,,Wood Structural Components (trusses etc),dev
ADL-162,Builders FirstSource,Ballston Spa,NY,,Wood Structural Components (trusses etc),dev
ADL-163,NextGen Building Components,Farmington,NY,,Wood Structural Components (trusses etc),dev
ADL-164,PDJ Components,Chester,NY,,Wood Structural Components (trusses etc),dev
ADL-165,SR Sloan,Whitesboro,NY,,Wood Structural Components (trusses etc),sealed
ADL-166,Universal Forest Products,Hudson,NY,,Wood Structural Components (trusses etc),dev
ADL-167,Builders FirstSource,Beaverton,OR,,Wood Structural Components (trusses etc),dev
ADL-168,Oregon Truss Company,Dayton,OR,,Wood Structural Components (trusses etc),sealed
ADL-169,Parr Truss,Cornelius,OR,,Wood Structural Components (trusses etc),dev
ADL-170,Parr Truss,Redmond,OR,,Wood Structural Components (trusses etc),dev
ADL-171,The Truss Company,Eugene,OR,,Wood Structural Components (trusses etc),dev
ADL-172,The Truss Company,Redmond,OR,,Wood Structural Components (trusses etc),dev
ADL-173,84 Lumber,Coal Center,PA,,Wood Structural Components (trusses etc),dev
ADL-174,Builders FirstSource,Paradise,PA,,Wood Structural Components (trusses etc),dev
ADL-175,Iron City Steel Component,Pittsburgh,PA,,Wood Structural Components (trusses etc),sealed
ADL-176,Montgomery Truss & Panel,Grove City,PA,,Wood Structural Components (trusses etc),sealed
ADL-177,Precision Wall & Truss,Landisville,PA,,Wood Structural Components (trusses etc),sealed
ADL-178,Toll Integrated Systems,Morrisville,PA,,Wood Structural Components (trusses etc),dev
ADL-179,York P-B Truss,York,PA,,Wood Structural Components (trusses etc),sealed
ADL-180,Trussco Manufacturing,North Kingstown,RI,,Wood Structural Components (trusses etc),sealed
ADL-181,Atlantic Building Systems,Moncks Corner,SC,,Wood Structural Components (trusses etc),dev
ADL-182,Builders FirstSource,Yemassee,SC,,Wood Structural Components (trusses etc),dev
ADL-183,Panel Truss,Townville,SC,,Wood Structural Components (trusses etc),dev
ADL-184,Stark Truss,Summerville,SC,,Wood Structural Components (trusses etc),dev
ADL-185,Universal Forest Products,Conway,SC,,Wood Structural Components (trusses etc),dev
ADL-186,84 Lumber,Houston,TX,,Wood Structural Components (trusses etc),dev
ADL-187,Builders FirstSource,Conroe,TX,,Wood Structural Components (trusses etc),dev
ADL-188,Builders FirstSource,Carrollton,TX,,Wood Structural Components (trusses etc),dev
ADL-189,"Longhorn Truss, LLC",Mabank,TX,,Wood Structural Components (trusses etc),sealed
ADL-190,"Trussworks, LLC",Mabank,TX,,Wood Structural Components (trusses etc),dev
ADL-191,Apex Truss,Warsaw,VA,,Wood Structural Components (trusses etc),dev
ADL-192,Builders FirstSource,Elkwood,VA,,Wood Structural Components (trusses etc),dev
ADL-193,Builders FirstSource,Fredericksburg,VA,,Wood Structural Components (trusses etc),dev
ADL-194,Builders FirstSource,West Point,VA,,Wood Structural Components (trusses etc),dev
ADL-195,Louws Truss,Burlington,WA,,Wood Structural Components (trusses etc),sealed
ADL-196,The Truss Company,Sumner,WA,,Wood Structural Components (trusses etc),dev
ADL-197,The Truss Company,Burlington,WA,,Wood Structural Components (trusses etc),dev
ADL-198,The Truss Company,Centralia,WA,,Wood Structural Components (trusses etc),dev
ADL-199,Aura Dwellings & Hospitality,,,,,dev
ADL-200,ATCO Structures and Logistics (USA) Inc,,,,,dev
ADL-201,House Factory,,,,,dev
ADL-202,BYLD Inc.,,,,,dev
ADL-203,Novarum Homes,,,,,dev
ADL-204,Steel Tech USA,,,,,dev
ADL-205,Modutize,,,,,dev
ADL-206,ATCO Structures,,,,,dev
ADL-207,US Offsite,,,,,dev
ADL-208,DORCE Prefabricated & Construction,,,,,dev
ADL-209,Falcon Structures,,,,,dev
ADL-210,OCCA OFFSITE,,,,,dev
ADL-211,Module,,,,,sealed
ADL-212,Ramtech Building Systems,,,,,sealed
ADL-213,"Neopod Systems, LLC.",,,,,sealed
ADL-214,"The Twiin Group, LLC",,,,,dev
ADL-215,"Fornidos Home Systems, Inc.",,,,,dev
ADL-216,ICON,,,,,dev
ADL-217,Synergy Modular,,,,,sealed
ADL-218,Wind River Built,,,,,dev
ADL-219,Off-Site,,,,,dev
ADL-220,Azure Printed Homes,,,,,dev
ADL-221,Assembly OSM,,,,,sealed
ADL-222,Stella Domo,,,,,dev
ADL-223,NEXGEN Building Products,,,,,dev
ADL-224,Nibbi Prefab,,,,,dev
ADL-225,GHOST FACTORY,,,,,dev
ADL-226,G-pod,,,,,dev
ADL-227,Irontown Modular,,,,,dev
ADL-228,Blue Horse Building,,,,,dev
ADL-229,Tiny Home Tours,,,,,dev
ADL-230,Impresa Modular,,,,,dev
ADL-231,Green Canopy NODE,,,,,dev
ADL-232,Reframe Systems Inc,,,,,dev
ADL-233,Stream Modular,,,,,sealed
ADL-234,True Volumetric Corp,,,,,dev
ADL-235,SBCA,,,,,sealed
ADL-236,"ASSEMBLAGEworks, Inc.",,,,,sealed
ADL-237,Promise Robotics,,,,,dev
ADL-238,Housing Growth Partners,,,,,dev
ADL-239,"Rmax, a Sika Company",,,,,dev
ADL-240,Slab to Ridge,,,,,dev
ADL-241,4Ward Solutions Group,,,,,dev
