control_id,name,city,state,segment,split,why_missing,sources_holding_the_company,found_street,found_city,found_state,source_url,notes
ADL-141,Innovative Construction Group,Green Cove Springs,FL,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-054,LANDMARK HOME AND LAND COMPANY,CLEARWATER,FL,Closed Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-117,Metalite Truss Systems of FL,West Palm Beach,FL,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-042,Steel Panel Truss,Kissimmee,FL,Open LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-031,SurePod (subsidiary of DPR),ORLANDO,FL,Bathroom Pods,dev,never ingested — no source holds this name,,,,,,
ADL-046,US FRAME FACTORY,BRADENTON,FL,Open LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-115,Cascade Manufacturing,Dublin,GA,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-116,Contract Building Components,Covington,GA,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-041,Forge CFS Components,Norcross,GA,Open LGS Panel,sealed,never ingested — no source holds this name,,,,,,
ADL-107,STO PANEL TECHNOLOGY / STO PANEL AFFILIATES,ATLANTA,GA,Exterior Envelope Panels,dev,never ingested — no source holds this name,,,,,,
ADL-043,United Structures of Georgia,Cairo,GA,Open LGS Panel,dev,"ingested but lost before publication (company in database, THIS PLANT not)",fl_bcis,,,,,
ADL-146,Universal Forest Products,Folkston,GA,Wood Structural Components (trusses etc),dev,"ingested but lost before publication (company in database, THIS PLANT not)",epa_frs,,,,,
ADL-066,Sterling Structural - IL,Phoenix,IL,Mass Timber (CLT),dev,never ingested — no source holds this name,,,,,,
ADL-036,COMPLETE WALL STRATEGIES / TCM ENTERPRISES,HUTCHINSON,KS,Closed LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-038,GRAYHAWK LLC,ELIZABETHTOWN,KY,Closed LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-006,MMY Modular,Louisville,KY,Steel Volumetric Modular,dev,never ingested — no source holds this name,,,,,,
ADL-147,"Southern Components, Inc.",Shrevport,LA,Wood Structural Components (trusses etc),dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-149,Cornerstone Building,Uxbridge,MA,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-047,Blueprint Robotics - Baltimore,BALTIMORE,MD,Closed Wood Panel,dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-150,NVR Building Products,Thurmont,MD,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-151,Shelter Systems,Westminster,MD,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-152,Stark Truss,Baltimore,MD,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-153,Mainely Trusses,Fairfield,ME,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-099,INSULSPAN SIPS,BLISSFIELD,MI,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-082,INSULSPAN SIPS BY PLASTI-FAB,BLISSFIELD,MI,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-097,PORTERSIPS DIVISION OF PORTER CORP,HOLLAND,MI,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-019,Ritz Craft MI,Jonesville,MI,Wood Volumetric Modular,dev,never ingested — no source holds this name,,118 Deal Parkway,Jonesville,MI,https://www.ritz-craft.com/contact-us,company contact page; attached to T0 lead RITZCRAFT CORP. - JONES; the T2 RITZ-CRAFT CORP. OF MI already located
ADL-084,R-CONTROL SIP/AFM CORPORATION,LAKEVILLE,MN,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-037,TJ WIES PREFAB,O FALLON,MO,Closed LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-120,Clearspan Components,Meridian,MS,Wood Structural Components (trusses etc),dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-083,GENERAL PANEL CORPORATION,GRENADA,MS,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-101,PORTER SIPS DIVISION OF PORTERCORP,COLUMBIA,MS,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-086,R-CONTROL SIP/BIG SKY,BELGRADE,MT,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-155,Atlantic Building Systems,Fairmont,NC,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-157,Carolina Structural Systems,Star,NC,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-025,Cavco Industries R-Anell,Crouse,NC,Wood Volumetric Modular,dev,never ingested — no source holds this name,,,,,,
ADL-118,Contract Building Components,Statesville,NC,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-045,Offsitek,BESSEMER CITY,NC,Open LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-159,The Building Center,Gastonia,NC,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-039,Atlantic PreFab,Wilton,NH,Closed LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-050,Bensonwood - Tektoniks & Unity Homes,KEENE,NH,Closed Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-161,LaValley Building,Newport,NH,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-053,YANKEE BARN HOMES,NORTHWOOD,NH,Closed Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-110,Bankersteel - South Plainfield,SOUTH PLAINFIELD,NJ,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-119,Timplex Corp,Sussex,NJ,Steel Structural Components,sealed,never ingested — no source holds this name,,,,,,
ADL-052,BPUBLIC PREFAB,SANTA,NM,Closed Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-056,BARDEN BUILDING PRODUCTS / NORTH AMERICAN TRUSS,MIDDLEPORT,NY,Open Wood Panel,sealed,never ingested — no source holds this name,,,,,,
ADL-163,NextGen Building Components,Farmington,NY,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-103,TIMBERBUILT,NORTH COLLINS,NY,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-166,Universal Forest Products,Hudson,NY,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-088,LAMIT BY ARMSTRONG,HEBRON,OH,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-057,DC STRUCTURES,PORTLAND,OR,Open Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-073,DR Johnson,Riddle,OR,Mass Timber (CLT),dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-072,SmartLam - OR,Columbia Falls,OR,Mass Timber (CLT),dev,never ingested — no source holds this name,,,,,,
ADL-027,Cavco - Penn West,Emlenton,PA,Wood Volumetric Modular,dev,never ingested — no source holds this name,,,,,,
ADL-029,DuraPod - Chalfont,Chalfont,PA,Bathroom Pods,dev,never ingested — no source holds this name,,,,,,
ADL-028,DuraPod - North Wales,North Wales,PA,Bathroom Pods,dev,never ingested — no source holds this name,,,,,,
ADL-175,Iron City Steel Component,Pittsburgh,PA,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-035,MASTECH PANEL SYSTEMS,LEWISBURG,PA,Closed LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-176,Montgomery Truss & Panel,Grove City,PA,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-177,Precision Wall & Truss,Landisville,PA,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-077,SUPERIOR WALLS - ADVANCED CONCRETE SYSTEMS,MIDDLEBURG,PA,Precast Concrete panel,dev,never ingested — no source holds this name,,,,,,
ADL-078,SUPERIOR WALLS - WEAVER PRECAST,EPHRATA,PA,Precast Concrete panel,dev,never ingested — no source holds this name,,,,,,
ADL-080,TITAN WALL,ELIZABETHTOWN,PA,MgO Panel,dev,never ingested — no source holds this name,,,,,,
ADL-178,Toll Integrated Systems,Morrisville,PA,Wood Structural Components (trusses etc),dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-010,VBC,Berwick,PA,Wood Volumetric Modular,dev,never ingested — no source holds this name,,,,,,
ADL-179,York P-B Truss,York,PA,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-180,Trussco Manufacturing,North Kingstown,RI,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-181,Atlantic Building Systems,Moncks Corner,SC,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-112,Bankersteel - Rock Hill,ROCK HILL,SC,Steel Structural Components,dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-064,Innovative Construction Group,Florence,SC,Open Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-183,Panel Truss,Townville,SC,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-185,Universal Forest Products,Conway,SC,Wood Structural Components (trusses etc),dev,"ingested but lost before publication (company in database, THIS PLANT not)",epa_frs,,,,,
ADL-012,Vantem Global,Clio,SC,Wood Volumetric Modular,dev,never ingested — no source holds this name,,,,,,
ADL-030,B&T Manufacturing,RAPID CITY,SD,Bathroom Pods,dev,never ingested — no source holds this name,,,,,,
ADL-104,BRANCH TECHNOLOGY,CHATTANOOGA,TN,3D Printing,dev,never ingested — no source holds this name,,,,,,
ADL-034,Baker Triangle Prefab,RICHARDSON,TX,Closed LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-033,BathSystems,HOUSTON,TX,Bathroom Pods,dev,never ingested — no source holds this name,,,,,,
ADL-189,"Longhorn Truss, LLC",Mabank,TX,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-067,Sterling Structural - TX,LUFKIN,TX,Mass Timber (CLT),dev,never ingested — no source holds this name,,,,,,
ADL-022,Studiobuilt,Cuero,TX,Wood Volumetric Modular,dev,never ingested — no source holds this name,,,,,,
ADL-061,Annadale Millwork,Winchester,VA,Open Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-191,Apex Truss,Warsaw,VA,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-108,Bankersteel - Lynchburg (Main plant 1619 Wythe Road),LYNCHBURG,VA,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-109,Bankersteel - Lynchburg (South plant 351 Rangoon St),LYNCHBURG,VA,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-011,VBC,Tracy,VA,Wood Volumetric Modular,dev,never ingested — no source holds this name,,,,,,
ADL-062,Van Metre Companies,Winchester,VA,Open Wood Panel,sealed,never ingested — no source holds this name,,,,,,
ADL-068,Mercer Mass Timber - WA,Spokane,WA,Mass Timber (CLT),dev,never ingested — no source holds this name,,,,,,
ADL-106,PACIFIC WALL SYSTEMS,SEATTLE,WA,Exterior Envelope Panels,sealed,never ingested — no source holds this name,,,,,,
ADL-098,R-CONTROL SIP/PREMIER BUILDING SYSTEMS,PUYALLUP,WA,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-074,Vaagen Timbers,COLVILLE,WA,Mass Timber (CLT),sealed,never ingested — no source holds this name,,,,,,
ADL-241,4Ward Solutions Group,,,,dev,never ingested — no source holds this name,,,,,,
ADL-236,"ASSEMBLAGEworks, Inc.",,,,sealed,never ingested — no source holds this name,,,,,,
ADL-221,Assembly OSM,,,,sealed,never ingested — no source holds this name,,,,,,
ADL-199,Aura Dwellings & Hospitality,,,,dev,never ingested — no source holds this name,,,,,,
ADL-220,Azure Printed Homes,,,,dev,never ingested — no source holds this name,,,,,,
ADL-202,BYLD Inc.,,,,dev,never ingested — no source holds this name,,,,,,
ADL-228,Blue Horse Building,,,,dev,never ingested — no source holds this name,,,,,,
ADL-208,DORCE Prefabricated & Construction,,,,dev,never ingested — no source holds this name,,,,,,
ADL-215,"Fornidos Home Systems, Inc.",,,,dev,never ingested — no source holds this name,,,,,,
ADL-226,G-pod,,,,dev,never ingested — no source holds this name,,,,,,
ADL-225,GHOST FACTORY,,,,dev,never ingested — no source holds this name,,,,,,
ADL-231,Green Canopy NODE,,,,dev,never ingested — no source holds this name,,,,,,
ADL-201,House Factory,,,,dev,never ingested — no source holds this name,,,,,,
ADL-238,Housing Growth Partners,,,,dev,never ingested — no source holds this name,,,,,,
ADL-216,ICON,,,,dev,never ingested — no source holds this name,,,,,,
ADL-230,Impresa Modular,,,,dev,never ingested — no source holds this name,,,,,,
ADL-211,Module,,,,sealed,never ingested — no source holds this name,,,,,,
ADL-205,Modutize,,,,dev,never ingested — no source holds this name,,,,,,
ADL-223,NEXGEN Building Products,,,,dev,never ingested — no source holds this name,,,,,,
ADL-224,Nibbi Prefab,,,,dev,never ingested — no source holds this name,,,,,,
ADL-203,Novarum Homes,,,,dev,never ingested — no source holds this name,,,,,,
ADL-210,OCCA OFFSITE,,,,dev,never ingested — no source holds this name,,,,,,
ADL-219,Off-Site,,,,dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-237,Promise Robotics,,,,dev,never ingested — no source holds this name,,,,,,
ADL-239,"Rmax, a Sika Company",,,,dev,never ingested — no source holds this name,,,,,,
ADL-235,SBCA,,,,sealed,never ingested — no source holds this name,,,,,,
ADL-240,Slab to Ridge,,,,dev,never ingested — no source holds this name,,,,,,
ADL-204,Steel Tech USA,,,,dev,never ingested — no source holds this name,,,,,,
ADL-233,Stream Modular,,,,sealed,never ingested — no source holds this name,,,,,,
ADL-217,Synergy Modular,,,,sealed,never ingested — no source holds this name,,,,,,
ADL-214,"The Twiin Group, LLC",,,,dev,never ingested — no source holds this name,,,,,,
ADL-229,Tiny Home Tours,,,,dev,never ingested — no source holds this name,,,,,,
